,温度T[K]	,窒素の溶解度x[モル分率],酸素の溶解度x[モル分率],水素の溶解度x[モル分率]
1,273.15,1.907521995476544e-05,3.949163193545719e-05,1.3500e-5
2,278.15,1.6947762923650865e-05,3.460412263175263e-05,1.3500e-5
3,283.15,1.5240097928214716e-05,3.070069042897072e-05,1.3500e-5
4,288.15,1.3860023640328657e-05,2.755665523892133e-05,1.3500e-5
5,293.15,1.273895958267397e-05,2.5006251924870116e-05,1.3500e-5
6,298.15,1.1825326735664594e-05,2.2925724332691606e-05,1.3500e-5
7,303.15,1.107994241425236e-05,2.122166634506772e-05,1.3500e-5
8,313.15,9.980628989413858e-06,1.86745780790709e-05,1.3500e-5
9,323.15,9.273234872866635e-06,1.69689477347298e-05,1.3500e-5
10,333.15,8.855773615100199e-06,1.5864340512013266e-05,1.3500e-5
11,343.15,8.665821017075236e-06,1.521190818894198e-05,1.3500e-5
12,348.15,8.643735743743553e-06,1.5024755252226177e-05,1.3500e-5
